from_hospital,to_center,driving_distance
1212,GKITP,583.526
1212,GKLTP,240.491
1212,GLPTP,660.736
1212,GMBTP,555.884
1212,GMHTP,820.367
1212,GMLTP,804.644
1212,GMNTP,238.711
1212,GMZTP,414.788
1212,GNBTP,632.616
1212,GRBTP,751.952
1212,GROTP,669.531
1212,GTUTP,617.093
1212,GWZTP,549.318
1212,HBSTP,1394.098
1212,NGRTP,242.501
1212,NLBTP,63.867
1212,NRDTP,24.536
1212,SLOTP,1230.993
216,AGATP,1114.984
216,AIBTP,972.618
216,AWGTP,978.118
216,BANTP,562.985
216,BBRTP,606.438
216,BGETP,614.314
216,BLATP,596.239
216,BLGTP,547.197
216,BLMTP,578.708
216,CZATP,1297.396
216,CZMTP,1295.814
216,CZPTP,1297.396
216,GAKTP,490.058
216,GBCTP,288.791
216,GBOTP,469.597
216,GESTP,370.087
216,GFMTP,510.319
216,GGOTP,277.451
216,GHBTP,589.02
216,GHGTP,8.511
216,GHOTP,166.834
216,GHSTP,657.039
216,GJETP,480.798
216,GKITP,87.096
216,GKLTP,430.715
216,GLPTP,410.285
216,GMBTP,298.796
216,GMHTP,804.921
216,GMLTP,820.904
216,GMNTP,283.922
216,GMZTP,542.454
216,GNBTP,602.443
216,GRBTP,720.182
216,GROTP,191.025
216,GTUTP,719.142
216,GWZTP,522.178
216,HBSTP,1178.738
216,NGRTP,298.565
216,NLBTP,507.117
216,NRDTP,505.728
216,SLOTP,1215.547
343,AGATP,955.595
343,AIBTP,764.886
343,AWGTP,953.506
343,BANTP,188.249
343,BBRTP,212.129
343,BGETP,239.578
343,BLATP,188.915
343,BLGTP,150.25
343,BLMTP,171.384
343,CZATP,1138.007
343,CZMTP,1136.425
343,CZPTP,1138.007
343,GAKTP,93.111
343,GBCTP,576.262
343,GBOTP,93.388
343,GESTP,36.271
343,GFMTP,244.287
343,GGOTP,295.816
343,GHBTP,309.493
343,GHGTP,412.533
343,GHOTP,303.853
343,GHSTP,303.057
343,GJETP,428.268
343,GKITP,493.988
343,GKLTP,57.846
343,GLPTP,495.185
343,GMBTP,444.591
343,GMHTP,632.403
343,GMLTP,659.355
343,GMNTP,133.376
343,GMZTP,237.258
343,GNBTP,444.652
343,GRBTP,563.987
343,GROTP,579.993
343,GTUTP,450.385
343,GWZTP,361.354
343,HBSTP,1206.134
343,NGRTP,280.508
343,NLBTP,225.863
343,NRDTP,206.812
343,SLOTP,1043.029
338,AGATP,963.389
338,AIBTP,772.68
338,AWGTP,961.3
338,BANTP,211.034
338,BBRTP,255.76
338,BGETP,262.363
338,BLATP,232.546
338,BLGTP,183.504
338,BLMTP,215.015
338,CZATP,1145.801
338,CZMTP,1144.219
338,CZPTP,1145.801
338,GAKTP,126.365
338,GBCTP,525.706
338,GBOTP,106.103
338,GESTP,11.935
338,GFMTP,252.081
338,GGOTP,254.851
338,GHBTP,317.287
338,GHGTP,366.903
338,GHOTP,253.298
338,GHSTP,324.634
338,GJETP,387.302
338,GKITP,448.358
338,GKLTP,81.727
338,GLPTP,454.22
338,GMBTP,394.035
338,GMHTP,640.197
338,GMLTP,667.149
338,GMNTP,87.746
338,GMZTP,245.053
338,GNBTP,452.446
338,GRBTP,571.782
338,GROTP,534.363
338,GTUTP,458.179
338,GWZTP,369.148
338,HBSTP,1213.928
338,NGRTP,248.294
338,NLBTP,226.976
338,NRDTP,228.411
338,SLOTP,1050.823
340,AGATP,955.215
340,AIBTP,764.507
340,AWGTP,953.127
340,BANTP,204.36
340,BBRTP,247.586
340,BGETP,255.69
340,BLATP,224.372
340,BLGTP,175.331
340,BLMTP,206.842
340,CZATP,1137.628
340,CZMTP,1136.046
340,CZPTP,1137.628
340,GAKTP,118.192
340,GBCTP,532.854
340,GBOTP,97.93
340,GESTP,2.853
340,GFMTP,243.907
340,GGOTP,261.998
340,GHBTP,309.114
340,GHGTP,374.05
340,GHOTP,260.445
340,GHSTP,316.46
340,GJETP,394.45
340,GKITP,455.505
340,GKLTP,73.554
340,GLPTP,461.367
340,GMBTP,401.183
340,GMHTP,632.024
340,GMLTP,658.976
340,GMNTP,94.893
340,GMZTP,236.879
340,GNBTP,444.273
340,GRBTP,563.608
340,GROTP,541.511
340,GTUTP,450.006
340,GWZTP,360.975
340,HBSTP,1205.755
340,NGRTP,245.806
340,NLBTP,222.072
340,NRDTP,223.508
340,SLOTP,1042.65
123,AGATP,1063.148
123,AIBTP,831.638
123,AWGTP,1061.06
123,BANTP,51.685
123,BBRTP,95.137
123,BGETP,103.014
123,BLATP,65.809
123,BLGTP,98.914
123,BLMTP,48.278
123,CZATP,1245.56
123,CZMTP,1243.978
123,CZPTP,1245.56
123,GAKTP,102.964
123,GBCTP,685.36
123,GBOTP,192.204
123,GESTP,159.767
123,GFMTP,351.84
123,GGOTP,430.485
123,GHBTP,405.578
123,GHGTP,521.631
123,GHOTP,412.951
123,GHSTP,337.989
123,GJETP,575.837
123,GKITP,603.086
123,GKLTP,167.809
123,GLPTP,629.854
123,GMBTP,553.688
123,GMHTP,739.956
123,GMLTP,725.867
123,GMNTP,242.473
123,GMZTP,336.011
123,GNBTP,552.206
123,GRBTP,671.541
