from_hospital,to_center,total_time_byplane
261,GAKTP,2.6233193130476704
261,GBCTP,3.1211784119632373
261,GBOTP,2.8709114504548783
261,GESTP,2.718871011722263
261,GFMTP,2.700777656234678
261,GGOTP,3.088333333333333
261,GHBTP,2.6693716407337136
261,GHGTP,2.6467306468452456
261,GHOTP,2.6731755892585225
261,GHSTP,2.93981651139196
261,GJETP,3.2576772175212687
261,GKITP,2.7376455443502707
261,GKLTP,2.770911450454878
261,GLPTP,2.7363345817318594
261,GMBTP,2.509244304381117
261,GMHTP,3.0943088684388673
261,GMLTP,3.2559755351055344
261,GMNTP,2.6812500055207016
261,GMZTP,2.889110989568011
261,GNBTP,2.7592130617797643
261,GRBTP,3.6926422017721974
261,GROTP,3.1008388295387195
261,GTUTP,3.000392403581497
261,GWZTP,3.7642130617797642
261,HBSTP,3.536917792347536
261,NGRTP,2.771189840212744
261,NLBTP,3.0513732976755845
261,NRDTP,2.7163732976755846
261,SLOTP,3.421446337372039
257,AGATP,2.5773080068422938
257,AIBTP,2.1318618744572575
257,AWGTP,2.7852495608193264
257,BANTP,2.0638694524122214
257,BBRTP,2.257530648798623
257,BGETP,2.6097843226165196
257,BLATP,1.9875306487986224
257,BLGTP,2.287128656729192
257,BLMTP,2.1758639821319554
257,CZATP,2.7644456996396
257,CZMTP,2.722779032972933
257,CZPTP,2.7644456996396
257,GAKTP,1.929720653191963
257,GBCTP,2.2877372593623453
257,GBOTP,2.191992099065712
257,GESTP,2.009156876388985
257,GFMTP,2.065761196848688
257,GGOTP,2.454842255925189
257,GHBTP,2.035292424594082
257,GHGTP,1.720245991024292
257,GHOTP,1.746666666666667
257,GHSTP,2.296895478495607
257,GJETP,2.5603565159752626
257,GKITP,1.8112079814125202
257,GKLTP,2.0919920990657124
257,GLPTP,1.9707932419976948
257,GMBTP,1.6897539551578784
257,GMHTP,2.4369313461522824
257,GMLTP,2.598598012818949
257,GMNTP,1.9003800789059837
257,GMZTP,2.254094530182021
257,GNBTP,2.1019448278988566
257,GRBTP,3.0352646794856124
257,GROTP,2.19310466267795
257,GTUTP,2.3659507633828634
257,GWZTP,3.106944827898857
257,HBSTP,2.810940082529333
257,NGRTP,1.9323154117995491
257,NLBTP,2.2908559386210756
257,NRDTP,1.9558559386210759
257,SLOTP,2.7510685566594555
449,AGATP,3.074082736319047
449,AIBTP,2.5636915942256144
449,AWGTP,3.3109035352202807
449,BANTP,2.3063166473247714
449,BBRTP,2.502579208378878
449,BGETP,2.8522087578152817
449,BLATP,2.232579208378878
449,BLGTP,2.5434562399332705
449,BLMTP,2.420912541712211
449,CZATP,3.253562100802466
449,CZMTP,3.2118954341357986
449,CZPTP,3.253562100802466
449,GAKTP,2.1926137229383853
449,GBCTP,2.876106563024
449,GBOTP,2.479771072427733
449,GESTP,2.269217125077558
449,GFMTP,2.433722496118202
449,GGOTP,2.901250005520702
449,GHBTP,2.4014937240613037
449,GHGTP,2.2558509059401146
449,GHOTP,2.338713412239318
449,GHSTP,2.618247446557586
449,GJETP,3.0689306066025903
449,GKITP,2.331260481182208
449,GKLTP,2.379771072427733
449,GLPTP,2.528908959501783
449,GMBTP,2.2688249257625346
449,GMHTP,2.892715022919476
449,GMLTP,3.054381689586143
449,GMNTP,2.141666666666667
449,GMZTP,2.6220558294515355
449,GNBTP,2.5615028807484412
449,GRBTP,3.491048356252806
449,GROTP,2.7701688323973532
449,GTUTP,2.754845412622823
449,GWZTP,3.566502880748441
449,HBSTP,3.3487222862165993
449,NGRTP,2.238189553277842
449,NLBTP,2.5344630045007213
449,NRDTP,2.1994630045007213
449,SLOTP,3.225194039271733
465,AGATP,2.820136826534409
465,AIBTP,2.28908141919024
465,AWGTP,3.0712376448604437
465,BANTP,2.073114526495356
465,BBRTP,2.2595083458186185
465,BGETP,2.6165476377514554
465,BLATP,1.9895083458186187
465,BLGTP,2.2812774421927497
465,BLMTP,2.1778416791519515
465,CZATP,2.9952025233701107
465,CZMTP,2.9535358567034438
465,CZPTP,2.9952025233701107
465,GAKTP,1.9234067607394767
465,GBCTP,2.6950670295549104
465,GBOTP,2.1939334508292228
465,GESTP,2.0046156903700236
465,GFMTP,2.151677138180756
465,GGOTP,2.6752952203313916
465,GHBTP,2.1168606319146384
465,GHGTP,2.1238425288788982
465,GHOTP,2.179647256914965
465,GHSTP,2.329684757360285
465,GJETP,2.841171603254692
465,GKITP,2.2050423405015995
465,GKLTP,2.0939334508292227
465,GLPTP,2.3225425388607714
465,GMBTP,2.0823601753905345
465,GMHTP,2.627258048486759
465,GMLTP,2.7889247151534255
465,GMNTP,2.0237266520206654
465,GMZTP,2.340010471514089
465,GNBTP,2.3018843532364057
465,GRBTP,3.225591381820089
465,GROTP,2.624679358720595
465,GTUTP,2.472734836292532
465,GWZTP,3.3068843532364056
465,HBSTP,3.11405757042424
465,NGRTP,2.1079673433721666
465,NLBTP,2.3323736492947202
465,NRDTP,1.99737364929472
465,SLOTP,2.961957417777861
196,AGATP,2.6840287143717765
196,AIBTP,2.295940260838747
196,AWGTP,2.8589558822190355
196,BANTP,2.2145020524771497
196,BBRTP,2.415842394409329
196,BGETP,2.7581428665543277
196,BLATP,2.1458423944093292
196,BLGTP,2.460953843957671
196,BLMTP,2.334175727742662
196,CZATP,2.8747136622908918
196,CZMTP,2.833046995624225
196,CZPTP,2.8747136622908918
196,GAKTP,2.108054500895759
196,GBCTP,2.260282442416635
196,GBOTP,2.3798601238038213
196,GESTP,2.1846457327976245
196,GFMTP,2.2609257938650806
196,GGOTP,2.6486083788895822
196,GHBTP,2.2295561685444936
196,GHGTP,1.6129664675901867
196,GHOTP,1.9430595608073287
196,GHSTP,2.4930523336696844
196,GJETP,2.711028412526235
196,GKITP,1.6270473571244102
196,GKLTP,2.2798601238038216
196,GLPTP,2.054670590485139
196,GMBTP,1.7593894141934316
196,GMHTP,2.5906031143673642
196,GMLTP,2.7522697810340313
196,GMNTP,2.059302398861822
196,GMZTP,2.449259127198413
196,GNBTP,2.2625879048315247
196,GRBTP,3.1889364477006943
196,GROTP,2.0183493349300443
196,GTUTP,2.5536217566973143
196,GWZTP,3.267587904831525
196,HBSTP,2.8591330805406026
196,NGRTP,2.0026753137988837
196,NLBTP,2.415485391610752
196,NRDTP,2.080485391610752
196,SLOTP,2.8785848239224396
1314,AGATP,16.713224959563373
1314,AIBTP,16.375178556586967
1314,AWGTP,16.86830038547126
1314,BANTP,16.39499661387497
1314,BBRTP,16.593914633398125
1314,BGETP,16.939868545412722
1314,BLATP,16.323914633398125
1314,BLGTP,16.631844031784542
1314,BLMTP,16.512247966731458
1314,CZATP,16.9036108696534
1314,CZMTP,16.86194420298673
1314,CZPTP,16.9036108696534
1314,GAKTP,16.275986809419766
1314,GBCTP,16.253074503607767
1314,GBOTP,16.54009638417955
1314,GESTP,16.35384561172428
1314,GFMTP,16.392979817328087
1314,GGOTP,16.784172162872018
1314,GHBTP,16.357217484371542
1314,GHGTP,15.801687059105221
1314,GHOTP,16.094771329344585
1314,GHSTP,16.63565086666857
1314,GJETP,16.802770458824813
1314,GKITP,15.781132106549812
1314,GKLTP,16.440096384179547
1314,GLPTP,16.10808968742934
1314,GMBTP,15.830682955177418
1314,GMHTP,16.66336953170792
1314,GMLTP,16.82503619837459
1314,GMNTP,16.233502165730652
1314,GMZTP,16.58131315066142
1314,GNBTP,16.347658026520826
1314,GRBTP,17.261702865041254
1314,GROTP,15.951666666666632
1314,GTUTP,16.66588784810015
1314,GWZTP,17.352658026520825
1314,HBSTP,16.84989306229457
1314,NGRTP,16.19213347111297
1314,NLBTP,16.601512230601497
1314,NRDTP,16.266512230601496
1314,SLOTP,16.92202297175301
30,AGATP,2.8754526324382512
30,AIBTP,2.528513145017139
30,AWGTP,3.221952205835966
30,BANTP,3.4414548049571536
30,BBRTP,3.599848970142497
30,BGETP,3.944363699414236
30,BLATP,3.329848970142497
30,BLGTP,3.5900555333137087
30,BLMTP,3.51818230347583
30,CZATP,3.0357280831109046
30,CZMTP,2.9940614164442376
30,CZPTP,3.0357280831109046
30,GAKTP,3.2557209047397118
30,GBCTP,3.556979370561273
30,GBOTP,3.5179915997064226
30,GESTP,3.409550764095754
30,GFMTP,3.1834256537730825
30,GGOTP,3.8633032533274454
30,GHBTP,3.0402189090484515
30,GHGTP,3.363563753957094
30,GHOTP,3.4138470709370283
30,GHSTP,3.328669270004129
30,GJETP,3.7638843700331353
30,GKITP,3.4448795919024615
30,GKLTP,3.417991599706423
30,GLPTP,3.1745591629430243
30,GMBTP,3.0789022491438915
30,GMHTP,2.9350919991636912
30,GMLTP,3.0967586658303583
30,GMNTP,3.4473517283651454
30,GMZTP,3.3717589871064155
30,GNBTP,2.9275189420878176
30,GRBTP,3.5334253324970213
30,GROTP,3.7052897716180064
30,GTUTP,3.171862080372445
30,GWZTP,3.9325189420878175
30,HBSTP,3.256239441706728
30,NGRTP,3.5430018578133455
30,NLBTP,3.7542730753360267
30,NRDTP,3.4192730753360268
30,SLOTP,3.003186644528563
28,AGATP,2.6404526324382513
28,AIBTP,2.2935131450171387
28,AWGTP,2.986952205835966
28,BANTP,3.2064548049571537
28,BBRTP,3.3648489701424973
28,BGETP,3.709363699414236
28,BLATP,3.0948489701424973
28,BLGTP,3.355055533313709
28,BLMTP,3.2831823034758303
28,CZATP,2.8007280831109043
28,CZMTP,2.7590614164442373
28,CZPTP,2.8007280831109043
28,GAKTP,3.020720904739712
28,GBCTP,3.3219793705612726
28,GBOTP,3.2829915997064227
28,GESTP,3.1745507640957538
28,GFMTP,2.948425653773082
28,GGOTP,3.6283032533274455
28,GHBTP,2.8052189090484516
28,GHGTP,3.128563753957094
28,GHOTP,3.178847070937028
28,GHSTP,3.0936692700041286
28,GJETP,3.5288843700331354
28,GKITP,3.2098795919024616
28,GKLTP,3.1829915997064226
28,GLPTP,2.939559162943024
28,GMBTP,2.8439022491438917
28,GMHTP,2.7000919991636914
28,GMLTP,2.861758665830358
28,GMNTP,3.212351728365145
28,GMZTP,3.1367589871064157
28,GNBTP,2.6925189420878173
28,GRBTP,3.298425332497021
28,GROTP,3.470289771618006
28,GTUTP,2.9368620803724452
28,GWZTP,3.6975189420878176
28,HBSTP,3.0212394417067276
28,NGRTP,3.3080018578133457
28,NLBTP,3.5192730753360264
28,NRDTP,3.1842730753360264
28,SLOTP,2.768186644528563
46,AGATP,1.822202514554358
46,AIBTP,1.8711120420752756
46,AWGTP,1.9016666666666668
46,BANTP,2.719700683644944
46,BBRTP,2.8851915362997875
46,BGETP,3.23798778499203
46,BLATP,2.615191536299787
46,BLGTP,2.876303703033525
46,BLMTP,2.8035248696331205
46,CZATP,1.973619480631867
46,CZMTP,1.9319528139652
46,CZPTP,1.973619480631867
46,GAKTP,2.5309904959357965
46,GBCTP,2.58356222087811
